trait,attribute,family
rostral processes,in the maxillae and nasals,amphisbaenidae
infralabial shields,3,amphisbaenidae
precloacals pores,lacking,amphisbaenidae
supralabials,two,amphisbaenidae
supraocular,present,amphisbaenidae
dorsal postpectoral half-annuli,240–267,amphisbaenidae
ventral postpectoral half-annuli,206–214,amphisbaenidae
tail annuli,11–12,amphisbaenidae
dorsal segments in midbody half-annulus,27–29,amphisbaenidae
ventral segments in midbody half-annulus,23–27,amphisbaenidae
precloacal vertebrae,96,amphisbaenidae
pectoral shields,many small and irregularly shaped,amphisbaenidae
adults specimens,dark brown dorsally,amphisbaenidae
premaxillary teeth,five,amphisbaenidae
maxillary teeth,four,amphisbaenidae
dentary teeth,six,amphisbaenidae
rostral process of nasal,present,amphisbaenidae
rostral process of maxilla,present,amphisbaenidae
premaxillary foramina,present,amphisbaenidae
head length,3.5–4.5% of snout-vent length,amphisbaenidae
rostronasal length,22.6–23.5% of head length,amphisbaenidae
rostronasal width,64.0–68.1% of the greatest width of head,amphisbaenidae
azygous length,29.3–35.0% of head length,amphisbaenidae
azygous width,35.6–45.8% of the greatest width of head,amphisbaenidae
frontal suture length,25.3–25.5% of head length,amphisbaenidae
parietal suture,9.8–13.9% of head length,amphisbaenidae
temporal length,18.9– 22.0% of head length,amphisbaenidae
temporal width,13.2–17.8% of head width,amphisbaenidae
prefrontals length,23.0–26.8% of head length,amphisbaenidae
prefrontals width,38.3–41.7% of head width,amphisbaenidae
height posterior of head,69.0–72.5% of head length,amphisbaenidae
comissure of the mouth length,53.4–59.1% of head length,amphisbaenidae
midbody width,3.2–4.4% of snout-vent length,amphisbaenidae
tail length,4.9–5.6% of snout-vent length,amphisbaenidae
head,round-shaped,amphisbaenidae
precloacal pores,"two or three, sequentially arranged",amphisbaenidae
body annuli,190–199,amphisbaenidae
lateral annuli,2–3,amphisbaenidae
caudal annuli,23–25,amphisbaenidae
autotomy,7th – 9th caudal annulus,amphisbaenidae
dorsal segments,12–14,amphisbaenidae
ventral segments,14–16,amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,three,amphisbaenidae
postmalar row,usually present,amphisbaenidae
body slenderness proportion,from 32.6 to 38.3,amphisbaenidae
dorsum color,light brown,amphisbaenidae
intersegmental sutures,cream,amphisbaenidae
venter color,cream colored,amphisbaenidae
parietals,shorter than frontals,amphisbaenidae
post-malar row,present in 93% of known specimens,amphisbaenidae
midbody ventral segments,modal value is 14 segments,amphisbaenidae
tail tip,smooth,amphisbaenidae
svl,maximum/mean 179/151 mm,amphisbaenidae
color pattern,"uniform dark brown, sometimes with a checkered pattern",amphisbaenidae
snout,rounded,amphisbaenidae
body annuli,328–342,amphisbaenidae
major fusion of head shields,"absence, distinct dorsal, lateral and ventral",amphisbaenidae
precloacal pores,two,amphisbaenidae
dorsal segments per midbody annulus,12–14,amphisbaenidae
ventral segments per midbody annulus,14–16,amphisbaenidae
autotomic site,between 9–10th caudal annuli,amphisbaenidae
chevron-shaped anterior body annuli,absent,amphisbaenidae
precloacal half-annuli,precloacals pores arranged in continuous series,amphisbaenidae
caudal annuli,20–23,amphisbaenidae
dorsal sulci,distinct,amphisbaenidae
head,slightly thinner than trunk,amphisbaenidae
tail,slightly compressed,amphisbaenidae
postmalar row,absent,amphisbaenidae
svl (snout-vent length),232 mm,amphisbaenidae
body shape,slender,amphisbaenidae
black pigmentation,extensive,amphisbaenidae
chin area,white,amphisbaenidae
preoculars,"paired, discrete",amphisbaenidae
third supralabial,no adjective,amphisbaenidae
two temporals and two post-supralabials,no adjective,amphisbaenidae
body annuli,less than 200,amphisbaenidae
mid-body annulus,only 32 segments,amphisbaenidae
head,smaller,amphisbaenidae
post-mental,barely longer than the mental,amphisbaenidae
body annuli in amphisbaena q. quadrifrons,221-242,amphisbaenidae
body annuli in amphisbaena q. capensis,198-221,amphisbaenidae
body annuli for z. quadrifrons,190-228,amphisbaenidae
body annuli for z. quadrifrons(according to broadley and broadley),195-245,amphisbaenidae
leposternon mineiro sp. nov.,"medium-sized, total length 366.8 mm",amphisbaenidae
frontal portion of facial section of head,depressed,amphisbaenidae
pectoral shields,irregular form,amphisbaenidae
dermal annuli,not regularly arranged,amphisbaenidae
rostral and nasals,fused into a single shield,amphisbaenidae
nostrils,opening on the ventral surface of snout,amphisbaenidae
precloacal pores,two,amphisbaenidae
pectoral shields,mostly diamond shaped,amphisbaenidae
supralabials,two,amphisbaenidae
infralabials,three,amphisbaenidae
rostronasal and azygous shields,in contact,amphisbaenidae
dorsal postpectoral half-annuli,277-300,amphisbaenidae
ventral postpectoral half-annuli,270-280,amphisbaenidae
tail annuli,15-16,amphisbaenidae
dorsal segments in midbody half-annulus,26-30,amphisbaenidae
ventral segments in midbody half-annulus,24-39,amphisbaenidae
dorsal portion of body color,whitish,amphisbaenidae
premaxillary teeth,five,amphisbaenidae
maxillary teeth,three,amphisbaenidae
dentary teeth,six,amphisbaenidae
rostronasal length,24.4-28.7% of head length,amphisbaenidae
rostronasal width,57.5-72.1% of maximum width of head,amphisbaenidae
azygous shield length,36.2-40.6% of head length,amphisbaenidae
azygous shield width,27.4-40.5% of maximum width of head,amphisbaenidae
prefrontals length,36.8-40.2% of head length,amphisbaenidae
prefrontals width,24.5-35.8% of maximum width of head,amphisbaenidae
frontals length,19.2-23.7% of head length,amphisbaenidae
temporal length,24.8-29.9% of head length,amphisbaenidae
midbody width,2.2-2.6% of snout–vent length,amphisbaenidae
tail length,5.2– 6.5% of snout–vent length,amphisbaenidae
amphisbaenid,medium-sized,amphisbaenidae
snout-vent length,291 mm maximum,amphisbaenidae
snout,"convex in profile view, sligthly compressed not keeled",amphisbaenidae
pectoral scales,arranged in regular annuli,amphisbaenidae
autotomic site,"conspicuous, between 7th–8th caudal annuli",amphisbaenidae
dorsal half-annuli,247–252,amphisbaenidae
caudal annuli,27,amphisbaenidae
tail length,representing 9.5–10.4% of snout-vent length,amphisbaenidae
precloacal pores,"four, arranged in sequence",amphisbaenidae
supralabials,three,amphisbaenidae
tail,rounded,amphisbaenidae
dorsal segments in midbody half-annulus,22–24,amphisbaenidae
postmalar row,absent,amphisbaenidae
head length,2.1–2.9% of snout-vent length,amphisbaenidae
prefrontals length,46.6–49.5% of head length,amphisbaenidae
head,round-shaped,amphisbaenidae
nasal suture,>< frontal suture > prefrontal suture,amphisbaenidae
precloacal pores,two without a median hiatus,amphisbaenidae
body annuli,158-165,amphisbaenidae
lateral annuli,3-4,amphisbaenidae
caudal annuli,12-14,amphisbaenidae
autotomy,on third or fourth caudal annulus,amphisbaenidae
tail,rounded tip,amphisbaenidae
dorsal segments on midbody,14-16,amphisbaenidae
ventral segments on midbody,15-16,amphisbaenidae
supralabials,four,amphisbaenidae
infralabials,three,amphisbaenidae
postgenials,one row,amphisbaenidae
postmalar row,present,amphisbaenidae
sulci,"dorsal and ventral absent, lateral present",amphisbaenidae
"rostral, nasal, first supralabial",cream colored,amphisbaenidae
anterior part of prefrontals,cream colored,amphisbaenidae
dorsum,dark gray,amphisbaenidae
first 2-3 ventral segments,dark grey,amphisbaenidae
ventral segments after first third of body,cream with a dark gray half-circle at anterior border,amphisbaenidae
size,small,amphisbaenidae
total length,up to 235 mm,amphisbaenidae
scales on tail,"modified, pointed",amphisbaenidae
tail annulus,starting on the 7-8th,amphisbaenidae
body annuli,186-194,amphisbaenidae
intercalated body annuli,0–2,amphisbaenidae
tail annuli,10-12,amphisbaenidae
dorsal segments on a midbody annulus,16,amphisbaenidae
ventral segments on a midbody annulus,19-22,amphisbaenidae
"head shields(nasal, prefrontal, frontal, parietal)","paired, in broad contact",amphisbaenidae
supralabials and infralabials,3,amphisbaenidae
mental and post-mental scales,present,amphisbaenidae
post-genial scales,two rows of two and three,amphisbaenidae
dorsal and ventral sulci,absent,amphisbaenidae
lateral sulcus,"present, starting around the 45th annulus",amphisbaenidae
pre-cloacal pores,"four, sequentially arranged, rounded",amphisbaenidae
pre-cloacal scales and post-cloacal scales,6-7 and 12-14,amphisbaenidae
autotomy site,absent,amphisbaenidae
head shape,round,amphisbaenidae
snout-vent length,>187mm,amphisbaenidae
snout,"rounded in dorsal view, slightly convex",amphisbaenidae
precloacal pores,two,amphisbaenidae
dorsal half-annuli,161–176,amphisbaenidae
tail annuli,12–15,amphisbaenidae
supralabials,3/3,amphisbaenidae
postmalar row,absent,amphisbaenidae
head,rounded,amphisbaenidae
segments at the tip of the tail,smooth,amphisbaenidae
pre-cloacal pores,four,amphisbaenidae
body annuli,204-221,amphisbaenidae
caudal annuli,18-25,amphisbaenidae
caudal autotomy,seen externally from 7e9 caudal annuli,amphisbaenidae
postmalar row,presence,amphisbaenidae
dorsal segments on the mid-body annulus,10e14,amphisbaenidae
distance between ocular shields,35%-43% of the head width,amphisbaenidae
coloration,dark brown with uniform shield pigmentation,amphisbaenidae
post-malar row,present,amphisbaenidae
16s rdna mean genetic distance for a. munoai,6.4%,amphisbaenidae
head,rounded,amphisbaenidae
segments at the tip of the tail,smooth,amphisbaenidae
number of pre-cloacal pores,four,amphisbaenidae
number of body annuli,195-216,amphisbaenidae
caudal autotomy,7-10 caudal anulli,amphisbaenidae
postmalar shields,presence,amphisbaenidae
parental shields,differentiated from body shields,amphisbaenidae
coloration,"light brown, uniform shield pigmentation",amphisbaenidae
post-malar row,present,amphisbaenidae
number of caudal annuli,18-22,amphisbaenidae
coloration of tail tip,uniform,amphisbaenidae
scales on tail tip,smooth,amphisbaenidae
body,slender,amphisbaenidae
svl in adults,103-152mm,amphisbaenidae
coloration pattern,uniform,amphisbaenidae
frontal shield,short,amphisbaenidae
size of parietal shields,"similar size of parietal shields, 18.7-28.7% of head length (hl)",amphisbaenidae
frontal shield,smaller,amphisbaenidae
size of frontal shield,18.7-28.7% of hl,amphisbaenidae
genes,3.6% of 16s rdna mean genetic distance and 6.9% of 16s rdna mean genetic distance,amphisbaenidae
head shape,rounded,amphisbaenidae
segments at the tip of tail,smooth,amphisbaenidae
pre-cloacal pores,4,amphisbaenidae
body annuli,199-216,amphisbaenidae
caudal autotomy,8-9 caudal anulli,amphisbaenidae
supralabial shields,3/3 or 4/4,amphisbaenidae
snout length,less than 50% of head length,amphisbaenidae
svl,134 mm,amphisbaenidae
precloacal pores,"two, arranged in a continuous series",amphisbaenidae
snout,rounded in profile and dorsal view,amphisbaenidae
body annuli,232,amphisbaenidae
caudal annuli,27,amphisbaenidae
autotomy site,at the 7th caudal annulus,amphisbaenidae
dorsal segments per annulus at midbody,16,amphisbaenidae
ventral segments per annulus at midbody,18,amphisbaenidae
supralabials,3,amphisbaenidae
infralabials,"3, second the largest",amphisbaenidae
rows of postgenials,2,amphisbaenidae
postmalar row,absent,amphisbaenidae
head,without major scale fusions,amphisbaenidae
lateral sulcus,present,amphisbaenidae
dorsal and ventral sulci,absent,amphisbaenidae
size,small,amphisbaenidae
svl (snout vent length),141 mm,amphisbaenidae
precloacal pores,"four, arranged in a continuous series",amphisbaenidae
snout,rounded,amphisbaenidae
body annuli,208,amphisbaenidae
caudal annuli,25,amphisbaenidae
autotomy site,at the 10th caudal annuli,amphisbaenidae
dorsal segments/annulus at midbody,14,amphisbaenidae
ventral segments/annulus at midbody,16,amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,"three, second the largest",amphisbaenidae
rows of postgenials,two,amphisbaenidae
postmalar row,absent,amphisbaenidae
major scale fusions on the head,none,amphisbaenidae
lateral sulcus,present,amphisbaenidae
dorsal and ventral sulci,absent,amphisbaenidae
head shape,"round, highly domed, with a prognathous snout terminating in a horizontal edge",amphisbaenidae
suture lengths,frontal > prefrontal > nasal,amphisbaenidae
precloacal pores,"4–8, without median hiatus",amphisbaenidae
body annuli,216–239,amphisbaenidae
lateral annuli,2–4,amphisbaenidae
caudal annuli,13–17,amphisbaenidae
caudal autotomy,absent,amphisbaenidae
tail tip,slightly dorsally depressed,amphisbaenidae
dorsal segments,18–24,amphisbaenidae
ventral segments,18–24,amphisbaenidae
supralabials,4,amphisbaenidae
infralabials,3,amphisbaenidae
parietals,variable in size and shape,amphisbaenidae
postoculars,1 or 2,amphisbaenidae
temporals,1 or 2,amphisbaenidae
postgenials,in 1 or 2 rows,amphisbaenidae
postmalar row,present,amphisbaenidae
lateral sulcus,present,amphisbaenidae
dorsal color,brown with cream narrow to wide segment sutures,amphisbaenidae
ventral color,immaculate cream after the first to fourth segment below the lateral sulcus,amphisbaenidae
tail,brown dorsally and cream ventrally,amphisbaenidae
"caudal annuli (in a. fuliginosa, a. leucocephala, a. mertensii, a. pretrei, a. spurrelli, a. vermicularis)","20–30, 25–29, 25–32, 21–26, 18–20, and 25–35 respectively",amphisbaenidae
rounded tail tip,slightly dorsally compressed,amphisbaenidae
"head (in a. angustifrons, a. fuliginosa, a. leucocephala, a. mertensii, a. pretrei, a. spurrelli, a. vermicularis)",not highly domed,amphisbaenidae
precloacal pores,sequentially arranged,amphisbaenidae
supralabial scales,three,amphisbaenidae
infralabial scales,three,amphisbaenidae
